Percentage data,,,,,,,,,,,,,,Raw data
Year,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish,,Staghorn coral,Boulder star coral,Sponges,Algae,Stoplight parrotfish,Queen angelfish,Yellowtail snapper,Nassau grouper,Long-spined sea urchin,Hawkbill sea turtle,Red lionfish,Crown-of-thorns starfish
0,100%,101%,103%,99%,100%,100%,100%,100%,100%,100%,0%,0%,,21,28,11,27,825,540,240,48,1160,25,0,0
1,100%,101%,103%,99%,100%,100%,101%,100%,100%,100%,0%,0%,,21,28,11,27,827,539,242,48,1160,25,0,0
2,100%,101%,104%,99%,100%,99%,101%,101%,100%,100%,0%,0%,,21,28,11,27,827,537,243,48,1160,25,0,0
3,101%,101%,104%,98%,100%,99%,102%,101%,100%,99%,0%,0%,,21,28,11,27,826,536,245,49,1159,25,0,0
4,101%,101%,105%,98%,100%,99%,102%,101%,100%,99%,0%,0%,,21,28,12,27,823,534,246,49,1159,25,0,0
5,101%,101%,105%,98%,99%,99%,103%,102%,100%,99%,0%,0%,,21,28,12,27,820,533,247,49,1158,25,0,0
6,101%,101%,106%,98%,99%,98%,103%,102%,100%,99%,0%,0%,,21,28,12,27,815,532,248,49,1157,25,0,0
7,101%,101%,106%,98%,98%,98%,103%,102%,100%,99%,0%,0%,,21,28,12,27,810,531,248,49,1156,25,0,0
8,101%,101%,106%,98%,98%,98%,104%,102%,100%,99%,0%,0%,,21,28,12,27,805,531,248,49,1155,25,0,0
9,101%,101%,107%,98%,97%,98%,104%,103%,99%,99%,0%,0%,,21,28,12,27,800,531,249,49,1154,25,0,0
10,101%,101%,107%,99%,96%,98%,104%,103%,99%,99%,0%,0%,,21,28,12,27,795,532,248,49,1153,25,0,0
11,101%,101%,108%,99%,96%,99%,103%,103%,99%,99%,0%,0%,,21,28,12,27,790,533,248,49,1152,25,0,0
12,101%,101%,108%,99%,95%,99%,103%,103%,99%,99%,0%,0%,,21,28,12,27,786,534,248,49,1152,25,0,0
13,101%,100%,108%,99%,95%,99%,103%,103%,99%,100%,0%,0%,,21,28,12,27,782,537,248,49,1152,25,0,0
14,101%,100%,108%,99%,94%,100%,103%,103%,99%,100%,0%,0%,,21,28,12,27,779,539,247,49,1152,25,0,0
15,100%,100%,109%,99%,94%,100%,103%,103%,99%,100%,0%,0%,,21,28,12,27,777,542,247,49,1153,25,0,0
16,100%,100%,108%,99%,94%,101%,103%,103%,100%,100%,0%,0%,,21,28,12,27,776,546,246,49,1155,25,0,0
17,100%,100%,108%,100%,94%,102%,102%,103%,100%,100%,0%,0%,,21,28,12,27,776,549,246,49,1156,25,0,0
18,100%,100%,108%,100%,94%,102%,102%,103%,100%,100%,0%,0%,,21,28,12,27,776,552,246,50,1158,25,0,0
19,100%,100%,108%,100%,94%,103%,102%,103%,100%,100%,0%,0%,,21,28,12,27,777,555,245,50,1161,25,0,0
20,100%,100%,107%,100%,94%,103%,102%,103%,100%,101%,0%,0%,,21,28,12,27,778,558,245,50,1163,25,0,0
21,100%,100%,107%,100%,95%,104%,102%,104%,101%,101%,0%,0%,,21,28,12,27,780,560,245,50,1166,25,0,0
22,100%,100%,106%,100%,95%,104%,102%,104%,101%,101%,0%,0%,,21,28,12,27,781,561,245,50,1169,25,0,0
23,100%,100%,106%,100%,95%,104%,102%,104%,101%,101%,0%,0%,,21,28,12,27,783,562,245,50,1172,25,0,0
24,100%,100%,105%,100%,95%,104%,102%,104%,101%,101%,0%,0%,,21,28,12,27,785,563,245,50,1175,25,0,0
25,100%,100%,105%,100%,95%,104%,102%,105%,101%,101%,0%,0%,,21,28,12,27,786,562,245,50,1177,25,0,0
26,100%,100%,105%,100%,95%,104%,102%,105%,102%,101%,0%,0%,,21,28,12,27,787,561,245,50,1180,25,0,0
27,101%,100%,104%,100%,95%,104%,102%,105%,102%,101%,0%,0%,,21,28,11,27,787,560,245,51,1182,25,0,0
28,101%,100%,104%,99%,95%,103%,102%,106%,102%,100%,0%,0%,,21,28,11,27,788,558,244,51,1184,25,0,0
29,101%,100%,104%,99%,95%,103%,101%,106%,102%,100%,0%,0%,,21,28,11,27,787,556,244,51,1185,25,0,0
30,101%,100%,104%,99%,95%,103%,101%,106%,102%,100%,0%,0%,,21,28,11,27,787,554,243,51,1186,25,0,0
31,101%,100%,103%,99%,95%,102%,101%,106%,102%,100%,0%,0%,,21,28,11,27,787,551,242,51,1187,25,0,0
32,102%,100%,103%,99%,95%,102%,100%,107%,102%,100%,0%,0%,,21,28,11,27,786,549,241,51,1187,25,0,0
33,102%,100%,104%,99%,95%,101%,100%,107%,102%,100%,0%,0%,,21,28,11,27,786,547,240,51,1187,25,0,0
34,102%,100%,104%,98%,95%,101%,99%,107%,102%,99%,0%,0%,,21,28,11,27,786,546,238,51,1186,25,0,0
35,102%,100%,104%,98%,95%,101%,99%,107%,102%,99%,0%,0%,,21,28,11,27,786,545,237,51,1185,25,0,0
36,102%,100%,104%,98%,95%,101%,98%,107%,102%,99%,0%,0%,,21,28,11,27,786,545,236,51,1184,25,0,0
37,102%,100%,104%,98%,95%,101%,98%,107%,102%,99%,0%,0%,,21,28,11,26,787,546,234,51,1183,25,0,0
38,102%,100%,104%,98%,96%,101%,97%,107%,102%,99%,0%,0%,,22,28,11,26,788,547,233,51,1181,25,0,0
39,102%,100%,105%,98%,96%,102%,96%,107%,102%,99%,0%,0%,,22,28,12,26,790,549,232,51,1179,25,0,0
40,103%,100%,105%,98%,96%,102%,96%,107%,101%,99%,0%,0%,,22,28,12,26,793,551,230,51,1177,25,0,0
41,103%,100%,105%,98%,96%,103%,95%,107%,101%,99%,0%,0%,,22,28,12,26,796,554,229,52,1175,25,0,0
42,103%,100%,105%,98%,97%,103%,95%,108%,101%,99%,0%,0%,,22,28,12,26,799,557,228,52,1173,25,0,0
43,103%,100%,105%,98%,97%,104%,95%,108%,101%,98%,0%,0%,,22,28,12,26,803,561,227,52,1170,25,0,0
44,103%,100%,104%,98%,98%,105%,94%,108%,101%,98%,0%,0%,,22,28,11,26,808,565,226,52,1168,25,0,0
45,103%,100%,104%,98%,98%,105%,94%,109%,100%,98%,0%,0%,,22,28,11,26,813,569,226,52,1165,25,0,0
46,103%,100%,104%,98%,99%,106%,94%,109%,100%,98%,0%,0%,,22,28,11,26,818,572,225,52,1163,25,0,0
47,103%,100%,103%,98%,100%,107%,93%,110%,100%,98%,0%,0%,,22,28,11,26,823,576,224,53,1160,24,0,0
48,103%,100%,103%,98%,100%,107%,93%,110%,100%,98%,0%,0%,,22,28,11,26,829,578,224,53,1157,24,0,0
49,103%,100%,102%,98%,101%,108%,93%,111%,100%,98%,0%,0%,,22,28,11,26,834,581,223,53,1155,24,0,0
50,103%,100%,102%,98%,102%,108%,93%,112%,99%,97%,0%,0%,,22,28,11,26,840,583,223,54,1152,24,0,0
51,103%,100%,101%,98%,103%,108%,93%,113%,99%,97%,0%,0%,,22,28,11,26,846,584,222,54,1149,24,0,0
52,104%,100%,101%,97%,103%,108%,92%,114%,99%,97%,0%,0%,,22,28,11,26,852,585,221,55,1146,24,0,0
53,104%,100%,100%,97%,104%,108%,92%,115%,99%,96%,0%,0%,,22,28,11,26,859,585,221,55,1143,24,0,0
54,104%,100%,100%,97%,105%,108%,91%,116%,98%,96%,0%,0%,,22,28,11,26,865,584,219,56,1140,24,0,0
55,104%,100%,100%,97%,106%,108%,91%,117%,98%,96%,0%,0%,,22,28,11,26,872,584,218,56,1137,24,0,0
56,104%,100%,99%,97%,107%,108%,90%,118%,98%,95%,0%,0%,,22,28,11,26,880,583,217,57,1133,24,0,0
57,104%,100%,99%,97%,108%,108%,90%,119%,97%,95%,0%,0%,,22,28,11,26,888,582,215,57,1130,24,0,0
58,104%,100%,99%,97%,109%,108%,89%,121%,97%,94%,0%,0%,,22,28,11,26,897,581,213,58,1127,24,0,0
59,105%,100%,99%,97%,110%,107%,88%,122%,97%,94%,0%,0%,,22,28,11,26,907,580,211,59,1123,23,0,0
60,105%,100%,99%,97%,111%,107%,87%,123%,97%,94%,0%,0%,,22,28,11,26,917,580,209,59,1120,23,0,0
61,105%,100%,99%,97%,113%,107%,86%,125%,96%,93%,0%,0%,,22,28,11,26,929,580,206,60,1116,23,0,0
62,105%,100%,99%,97%,114%,108%,85%,127%,96%,93%,0%,0%,,22,28,11,26,942,581,204,61,1112,23,0,0
63,105%,100%,99%,97%,116%,108%,84%,129%,95%,92%,0%,0%,,22,28,11,26,957,582,201,62,1108,23,0,0
64,105%,100%,99%,97%,118%,108%,82%,131%,95%,92%,0%,0%,,22,28,11,26,972,584,198,63,1103,23,0,0
65,105%,100%,99%,96%,120%,109%,81%,133%,95%,91%,0%,0%,,22,28,11,26,990,587,195,64,1098,23,0,0
66,105%,100%,98%,96%,122%,109%,80%,135%,94%,91%,0%,0%,,22,28,11,26,1008,591,191,65,1093,23,0,0
67,105%,100%,98%,96%,125%,110%,78%,138%,94%,90%,0%,0%,,22,28,11,26,1028,595,188,66,1087,23,0,0
68,106%,100%,98%,96%,127%,111%,77%,141%,93%,90%,0%,0%,,22,28,11,26,1049,600,184,68,1081,22,0,0
69,106%,100%,98%,95%,130%,112%,75%,144%,93%,89%,0%,0%,,22,28,11,26,1072,606,180,69,1075,22,0,0
70,106%,100%,97%,95%,133%,113%,73%,148%,92%,89%,0%,0%,,22,28,11,26,1096,612,176,71,1067,22,0,0
71,106%,100%,97%,95%,136%,115%,72%,152%,91%,88%,0%,0%,,22,28,11,26,1122,619,172,73,1059,22,0,0
72,106%,100%,96%,94%,139%,116%,70%,157%,91%,88%,0%,0%,,22,28,11,25,1149,626,167,75,1051,22,0,0
73,107%,100%,96%,94%,143%,117%,67%,162%,90%,87%,0%,0%,,22,28,11,25,1178,634,162,78,1041,22,0,0
74,107%,100%,95%,93%,146%,119%,65%,168%,89%,87%,0%,0%,,22,28,10,25,1208,641,156,81,1031,22,0,0
75,107%,101%,94%,93%,150%,120%,63%,174%,88%,86%,0%,0%,,23,28,10,25,1241,649,150,84,1020,22,0,0
76,108%,101%,93%,92%,155%,122%,60%,182%,87%,85%,0%,0%,,23,28,10,25,1275,657,144,87,1008,21,0,0
77,108%,101%,92%,92%,159%,123%,57%,190%,86%,85%,0%,0%,,23,28,10,25,1312,665,137,91,995,21,0,0
78,109%,101%,91%,91%,164%,125%,54%,199%,85%,84%,0%,0%,,23,28,10,25,1351,673,129,96,981,21,0,0
79,109%,101%,89%,91%,169%,126%,50%,209%,83%,83%,0%,0%,,23,28,10,25,1393,682,121,100,966,21,0,0
80,110%,101%,88%,90%,174%,128%,47%,221%,82%,82%,0%,0%,,23,28,10,24,1439,690,112,106,951,21,0,0
81,110%,101%,87%,89%,180%,129%,43%,234%,81%,81%,0%,0%,,23,28,10,24,1487,698,103,112,934,20,0,0
82,111%,102%,85%,89%,187%,131%,39%,249%,79%,80%,0%,0%,,23,28,9,24,1540,706,93,119,916,20,0,0
83,112%,102%,84%,88%,193%,132%,34%,265%,77%,79%,0%,0%,,23,28,9,24,1595,714,83,127,898,20,0,0
84,112%,102%,83%,87%,201%,134%,30%,284%,76%,78%,0%,0%,,24,29,9,24,1654,722,72,137,878,19,0,0
85,113%,102%,81%,86%,208%,135%,26%,306%,74%,77%,0%,0%,,24,29,9,23,1715,729,61,147,858,19,0,0
86,114%,102%,80%,85%,215%,136%,21%,313%,72%,75%,0%,0%,,24,29,9,23,1777,736,51,150,836,19,0,0
87,115%,103%,78%,85%,224%,138%,18%,313%,70%,74%,0%,0%,,24,29,9,23,1847,743,42,150,814,19,0,0
88,116%,103%,77%,84%,233%,139%,15%,313%,68%,73%,0%,0%,,24,29,8,23,1924,752,35,150,790,18,0,0
89,116%,103%,75%,82%,242%,141%,12%,313%,66%,71%,0%,0%,,24,29,8,22,2001,761,30,150,766,18,0,0
90,117%,104%,74%,81%,244%,143%,10%,313%,64%,70%,0%,0%,,25,29,8,22,2011,770,25,150,741,17,0,0
91,118%,104%,72%,80%,245%,144%,9%,313%,62%,68%,0%,0%,,25,29,8,22,2022,778,22,150,715,17,0,0
92,119%,104%,71%,80%,246%,146%,8%,313%,59%,67%,0%,0%,,25,29,8,22,2033,786,18,150,688,17,0,0
93,120%,104%,70%,79%,248%,147%,7%,313%,57%,65%,0%,0%,,25,29,8,21,2043,792,16,150,661,16,0,0
94,121%,105%,68%,79%,249%,148%,6%,313%,55%,64%,0%,0%,,25,29,7,21,2054,797,14,150,635,16,0,0
95,122%,105%,67%,79%,250%,148%,5%,313%,53%,62%,0%,0%,,26,29,7,21,2064,800,12,150,609,16,0,0
96,123%,105%,65%,79%,251%,148%,4%,313%,50%,60%,0%,0%,,26,30,7,21,2073,801,10,150,584,15,0,0
97,123%,106%,64%,79%,252%,148%,4%,313%,48%,59%,0%,0%,,26,30,7,21,2081,801,9,150,561,15,0,0
98,124%,106%,63%,79%,253%,148%,3%,313%,46%,57%,0%,0%,,26,30,7,21,2088,799,8,150,538,14,0,0
99,124%,106%,62%,79%,254%,147%,3%,313%,45%,56%,0%,0%,,26,30,7,21,2094,796,7,150,516,14,0,0
100,125%,106%,62%,80%,254%,147%,2%,313%,43%,54%,0%,0%,,26,30,7,22,2099,791,6,150,496,14,0,0
101,125%,107%,61%,81%,255%,146%,2%,313%,41%,52%,0%,0%,,26,30,7,22,2103,786,5,150,477,13,0,0
102,125%,107%,61%,81%,255%,144%,2%,313%,40%,51%,0%,0%,,26,30,7,22,2106,780,4,150,459,13,0,0
103,125%,107%,60%,82%,255%,143%,2%,313%,38%,49%,0%,0%,,26,30,7,22,2108,773,4,150,443,12,0,0
104,125%,107%,60%,83%,256%,142%,1%,313%,37%,48%,0%,0%,,26,30,7,22,2108,766,3,150,428,12,0,0
105,125%,107%,60%,84%,255%,141%,1%,313%,36%,46%,0%,0%,,26,30,7,23,2107,759,3,150,415,12,0,0
106,124%,107%,60%,85%,255%,139%,1%,313%,35%,45%,0%,0%,,26,30,7,23,2105,753,2,150,402,11,0,0
107,124%,107%,61%,86%,255%,138%,1%,313%,34%,44%,0%,0%,,26,30,7,23,2102,747,2,150,391,11,0,0
108,123%,107%,61%,87%,254%,137%,1%,313%,33%,42%,0%,0%,,26,30,7,24,2097,741,2,150,381,11,0,0
109,122%,107%,62%,89%,254%,136%,1%,313%,32%,41%,0%,0%,,26,30,7,24,2092,737,1,150,372,10,0,0
110,122%,107%,62%,90%,253%,136%,1%,313%,31%,40%,0%,0%,,26,30,7,24,2085,733,1,150,365,10,0,0
111,121%,107%,63%,91%,252%,135%,0%,313%,31%,39%,0%,0%,,25,30,7,25,2078,731,1,150,358,10,0,0
112,120%,107%,64%,93%,251%,135%,0%,313%,30%,38%,0%,0%,,25,30,7,25,2069,730,1,150,353,9,0,0
113,119%,107%,64%,94%,250%,135%,0%,313%,30%,37%,0%,0%,,25,30,7,25,2060,730,1,150,349,9,0,0
114,118%,107%,65%,96%,249%,136%,0%,313%,30%,36%,0%,0%,,25,30,7,26,2050,732,1,150,346,9,0,0
115,117%,107%,66%,97%,247%,136%,0%,313%,30%,35%,0%,0%,,24,30,7,26,2039,735,1,150,344,9,0,0
116,115%,107%,67%,99%,246%,137%,0%,313%,30%,34%,0%,0%,,24,30,7,27,2028,739,0,150,343,8,0,0
117,114%,106%,67%,100%,244%,138%,0%,313%,30%,33%,0%,0%,,24,30,7,27,2017,745,0,150,343,8,0,0
118,113%,106%,68%,102%,243%,139%,0%,313%,30%,32%,0%,0%,,24,30,7,28,2005,752,0,150,344,8,0,0
119,112%,106%,68%,103%,242%,141%,0%,313%,30%,31%,0%,0%,,23,30,8,28,1993,759,0,150,346,8,0,0
120,110%,106%,69%,105%,240%,142%,0%,313%,30%,30%,0%,0%,,23,30,8,28,1981,768,0,150,349,8,0,0
121,109%,106%,69%,106%,239%,144%,0%,313%,30%,30%,0%,0%,,23,30,8,29,1968,778,0,150,353,7,0,0
122,108%,105%,69%,108%,237%,146%,0%,313%,31%,29%,0%,0%,,23,29,8,29,1957,788,0,150,359,7,0,0
123,107%,105%,69%,109%,236%,148%,0%,313%,32%,28%,0%,0%,,22,29,8,29,1945,798,0,150,365,7,0,0
124,106%,105%,68%,110%,234%,150%,0%,313%,32%,27%,0%,0%,,22,29,8,30,1934,807,0,150,373,7,0,0
125,105%,104%,68%,112%,233%,151%,0%,313%,33%,27%,0%,0%,,22,29,7,30,1923,817,0,150,382,7,0,0
126,104%,104%,67%,113%,232%,153%,0%,313%,34%,26%,0%,0%,,22,29,7,30,1913,825,0,150,392,7,0,0
127,103%,104%,67%,114%,231%,154%,0%,313%,35%,25%,0%,0%,,22,29,7,31,1904,833,0,150,403,6,0,0
128,102%,104%,66%,115%,230%,155%,0%,313%,36%,25%,0%,0%,,21,29,7,31,1895,839,0,150,415,6,0,0
129,102%,104%,65%,115%,229%,156%,0%,313%,37%,24%,0%,0%,,21,29,7,31,1888,844,0,150,428,6,0,0
130,101%,103%,64%,116%,228%,157%,0%,313%,38%,23%,0%,0%,,21,29,7,31,1881,848,0,150,443,6,0,0
131,101%,103%,63%,116%,227%,157%,0%,313%,39%,23%,0%,0%,,21,29,7,31,1875,849,0,150,458,6,0,0
132,100%,103%,62%,117%,227%,157%,0%,313%,41%,22%,0%,0%,,21,29,7,32,1870,849,0,150,475,6,0,0
133,100%,103%,62%,117%,226%,157%,0%,313%,42%,22%,0%,0%,,21,29,7,32,1867,848,0,150,492,5,0,0
134,100%,103%,61%,117%,226%,156%,0%,313%,44%,21%,0%,0%,,21,29,7,32,1864,844,0,150,510,5,0,0
135,100%,102%,60%,117%,226%,156%,0%,313%,46%,20%,0%,0%,,21,29,7,31,1862,840,0,150,529,5,0,0
136,100%,102%,60%,116%,226%,154%,0%,313%,47%,20%,0%,0%,,21,29,7,31,1861,834,0,150,548,5,0,0
137,100%,102%,59%,116%,226%,153%,0%,313%,49%,19%,0%,0%,,21,29,7,31,1861,827,0,150,567,5,0,0
138,100%,102%,59%,115%,226%,152%,0%,313%,51%,18%,0%,0%,,21,29,7,31,1862,820,0,150,586,5,0,0
139,100%,102%,59%,114%,226%,150%,0%,313%,52%,18%,0%,0%,,21,29,6,31,1864,812,0,150,606,4,0,0
140,101%,102%,59%,113%,226%,149%,0%,313%,54%,17%,0%,0%,,21,29,6,30,1867,805,0,150,624,4,0,0
141,101%,102%,59%,112%,227%,148%,0%,313%,55%,17%,0%,0%,,21,29,7,30,1871,797,0,150,642,4,0,0
142,102%,102%,60%,110%,227%,146%,0%,313%,57%,16%,0%,0%,,21,29,7,30,1876,790,0,150,659,4,0,0
143,102%,102%,60%,109%,228%,145%,0%,313%,58%,16%,0%,0%,,21,29,7,29,1881,783,0,150,674,4,0,0
144,103%,102%,60%,107%,229%,144%,0%,313%,59%,15%,0%,0%,,22,29,7,29,1887,777,0,150,688,4,0,0
